original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
United Kingdom,"20/24 Moorgate,London EC2R 6DM",540,2,51.5172127,-0.0887576,"Moorgate, City of London, EC2R 6EJ, United Kingdom",Moorgate,,Moorgate,EC2R 6EJ,,Barbican,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"200 Aldersgate St.,London,EC1A 4HD",541,2,51.5171828,-0.0970164,"Pret A Manger, 200 Aldersgate Street, City of London, EC1A 4HD, United Kingdom",Pret A Manger,200,Aldersgate Street,EC1A 4HD,,Cheap,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"200 Capability Green Luton,Bedfordshrine,LU1 3LU",542,2,51.8633195,-0.4113473120895402,"Anritsu, 200 Capability Green, Luton, LU1 3LG, United Kingdom",Anritsu,200,Capability Green,LU1 3LG,,New Town,Luton,Borough of Luton,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"200 Capability Green,Luton,Bedfordshire,LU1 3LU",543,2,51.8633195,-0.4113473120895402,"Anritsu, 200 Capability Green, Luton, LU1 3LG, United Kingdom",Anritsu,200,Capability Green,LU1 3LG,,New Town,Luton,Borough of Luton,,England,ENG,United Kingdom,gb,0.44099999999999995,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"200 Fowler Ave.,Farnborough Business Park,Farnborough,Hampshire GU14 7JP",544,2,51.28458995,-0.7600185533524617,"200 Fowler Avenue, Rushmoor, GU14 7JP, United Kingdom",,200,Fowler Avenue,GU14 7JP,,Farnborough Business Park,Rushmoor,Hampshire,HAM,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"200 Fowler Ave.,IQ Farnborough,Hampshire GU14 7JP",545,2,51.28458995,-0.7600185533524617,"200 Fowler Avenue, Rushmoor, GU14 7JP, United Kingdom",,200,Fowler Avenue,GU14 7JP,,Farnborough Business Park,Rushmoor,Hampshire,HAM,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"201 Bishopsgate,London EC2M 3AE",546,2,51.5210268,-0.07925827371908106,"201 Bishopsgate, City of London, EC2M 3AE, United Kingdom",201 Bishopsgate,201,Bishopsgate,EC2M 3AE,,Bishopsgate,City of London,Greater London,,England,ENG,United Kingdom,gb,0.9,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"202 Bedford Ave.,Slough,SL1 4RY",547,2,51.5212808,-0.6286271,"Bedford Avenue, Slough, SL1 4PH, United Kingdom",Bedford Avenue,,Bedford Avenue,SL1 4PH,,Cippenham,Slough,,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"208 Cambridge Science Park,Milton Rd.,Cambridge,CB4 0GZ",548,2,52.22018385,0.1339849684030341,"208 Milton Road, Cambridge, CB4 1LG, United Kingdom",,208,Milton Road,CB4 1LG,Lynfield Court,Chesterton,Cambridge,Cambridgeshire,CAM,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20A Welsh Rd.,Garden City Deeside,Flintshire,CH5 2RA",549,2,53.2324312,-2.9923032,"Welsh Road, Shotton, CH5 2LJ, United Kingdom",Welsh Road,,Welsh Road,CH5 2LJ,,Sealand,Shotton,Flintshire,FLN,Wales,WLS,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"20th Fl.,Wembley Point,1 Harrow Rd.,Wambley,Middlesex,HA9 6DE",550,2,51.554364199999995,-0.3159293776716604,"Platform 1, Harrow Road, London, HA0 3EL, United Kingdom",Platform 1,,Harrow Road,HA0 3EL,London Borough of Brent,Sudbury,London,Greater London,,England,ENG,United Kingdom,gb,0.045,0.3,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
