original_countryname,original_AddressAlph,original_address_id,original_group,lat,lon,formatted,name,housenumber,street,suburb,postcode,district,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
United Kingdom,"90 Peterborough Rd.,London,SW6 3HH",1480,4,51.4664568,-0.19348880000000096,"Phase Eight, 90 Peterborough Road, London, SW6 3HQ, United Kingdom",Phase Eight,90,Peterborough Road,Sands End,SW6 3HQ,London Borough of Hammersmith and Fulham,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"91 Charter House St.,London,EC1M 6HR",1481,4,51.514993,-0.092813,"City of London, London, EC1M 6HR, United Kingdom",City of London,,,,EC1M 6HR,City of London,London,London,,England,ENG,United Kingdom,gb,0.25,1,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
United Kingdom,"91/95 Peregrine Rd.,Hainault Ilford,Essex IG6 3XH",1482,4,51.6093269,0.1219205,"Peregrine Road, London, IG6 3SS, United Kingdom",Peregrine Road,,Peregrine Road,,IG6 3SS,London Borough of Redbridge,London,Greater London,,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"93 Bayham St.,London,NW1 0AG",1483,4,51.5386221,-0.1409663,"Bayham Street, London, NW1 0AG, United Kingdom",Bayham Street,,Bayham Street,Chalk Farm,NW1 0AG,London Borough of Camden,London,Greater London,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"94 Kings Rd.,London SW3 4TZ",1484,4,51.4210764,-0.2012551,"Kings Road, London, SW19 8PL, United Kingdom",Kings Road,,Kings Road,South Wimbledon,SW19 8PL,London Borough of Merton,London,Greater London,,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"94 Kings Rd.,London,SW3 4TZ",1485,4,51.4210764,-0.2012551,"Kings Road, London, SW19 8PL, United Kingdom",Kings Road,,Kings Road,South Wimbledon,SW19 8PL,London Borough of Merton,London,Greater London,,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"95 Gresham St.,London EC2V 7AB",1486,4,51.51508,-0.09097,"City of London, EC2V 7AB, United Kingdom",,,,,EC2V 7AB,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.6,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"95 Station Rd.,Hampton Middlesex TW12 2BD",1487,4,51.4151705,-0.3674561,"95 Station Road, London, TW12 2BD, United Kingdom",,95,Station Road,Hampton,TW12 2BD,Richmond upon Thames,London,London,,England,ENG,United Kingdom,gb,0,1,1,,,
United Kingdom,"99 Queen Victoria St.,London,EC4V 4EH",1488,4,51.5117502,-0.0979148,"Former site of Blacksmiths' Hall, 99 Queen Victoria Street, City of London, EC4V 4HN, United Kingdom",Former site of Blacksmiths' Hall,99,Queen Victoria Street,Vintry,EC4V 4HN,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103000000000001,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9B Chiswick Studios,Power Rd.,London,W4 5PY",1489,4,51.4935075,-0.2801067,"Power Road, London, W4 5PY, United Kingdom",Power Road,,Power Road,Grove Park,W4 5PY,London Borough of Hounslow,London,Greater London,,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9th Fl.,2 Minster Court,Mincing Lane,London EC3R 7FH",1490,4,51.510585250000005,-0.08092281428331233,"1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",,1,Mincing Lane,Cornhill,EC3R 7AA,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9th Fl.,2 Minster Court,Mincing Lane,London,EC3R 7FH",1491,4,51.510585250000005,-0.08092281428331233,"1 Mincing Lane, City of London, EC3R 7AA, United Kingdom",,1,Mincing Lane,Cornhill,EC3R 7AA,,City of London,Greater London,,England,ENG,United Kingdom,gb,0.5103,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
United Kingdom,"9th Fl.,26-28 Hammersmith Grove,Hammersmith,London,W6 7EN",1492,4,51.4949078,-0.2260117,"Fitness First, 26-28 Hammersmith Grove, London, W6 7HB, United Kingdom",Fitness First,26-28,Hammersmith Grove,Brook Green,W6 7HB,London Borough of Hammersmith and Fulham,London,Greater London,,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
